Pins Used,Mode,Pull-Type,Speed
PA5,"['IT_FALLING', 'IT_FALLING']","['GPIO_NOPULL', 'GPIO_PULLDOWN']",[]
PA6,"['IT_FALLING', 'IT_FALLING']","['GPIO_NOPULL', 'GPIO_PULLDOWN']",[]
PA7,"['IT_FALLING', 'IT_FALLING']","['GPIO_NOPULL', 'GPIO_PULLDOWN']",[]
PA8,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
PA10,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
PB4,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
PB5,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
PB8,['IT_FALLING'],['GPIO_PULLDOWN'],[]
PB9,['IT_FALLING'],['GPIO_PULLDOWN'],[]
